id_cmonoc,lat,lon,id_met,province,city,lat_y,lon_y,distance
hlfy,48.366994899999995,134.27715580000003,50779.0,黑龙江,抚远,48.22,134.17,0.1819
gsts,34.4845086,105.9053067,57011.0,甘肃,清水,34.45,106.09,0.1879
hisy,18.2357788,109.53055490000001,59945.0,海南,保亭,18.39,109.42,0.1898
hlhg,47.3527576,130.2356295,50775.0,黑龙江,鹤岗,47.2,130.12,0.1916
snxy,35.168680200000004,108.38864270000002,53935.0,甘肃,正宁,35.29,108.24,0.1919
jsnt,31.952815899999997,120.88968909999998,58268.0,江苏,通州,32.06,121.05,0.1928
xzdx,30.4800168,91.09724849999999,55493.0,西藏,当雄,30.29,91.06,0.1936
tstb,39.6068034,118.1969403,54532.0,河北,丰润,39.48,118.05,0.1941
tsln,39.606776700000005,118.19693810000001,54532.0,河北,丰润,39.48,118.05,0.1941
tsta,39.606835,118.1970051,54532.0,河北,丰润,39.48,118.05,0.1942
gxwz,23.4802268,111.2335034,59265.0,广西,梧州,23.29,111.18,0.1976
qhtt,34.2166312,92.43755440000001,56004.0,青海,沱沱河,34.13,92.26,0.1976
scjl,29.0080954,101.500362,56462.0,四川,九龙,29.0,101.3,0.2005
ynth,24.1183482,102.7514198,56879.0,云南,华宁,24.11,102.55,0.2016
xjqm,38.1186933,85.5304511,51855.0,新疆,且末,38.09,85.33,0.2025
sctq,30.073584399999998,102.7650014,56279.0,四川,芦山,30.09,102.56,0.2057
sxty,37.711510499999996,112.43257890000001,53677.0,山西,尖草坪,37.56,112.29,0.208
ynlj,26.695631,100.02931459999999,56651.0,云南,丽江,26.51,100.13,0.2112
zjwz,27.934121899999997,120.76289799999999,58656.0,浙江,乐清,28.04,120.58,0.2113
xznq,31.4918756,92.1085707,55299.0,西藏,那曲,31.29,92.04,0.2132
jxhk,29.732934000000004,116.2390578,58512.0,江西, 彭泽,29.54,116.33,0.2133
cqwz,30.7699458,108.4902413,57339.0,重庆,云阳,30.57,108.41,0.2154
