id_igra,start,end,id_met,province,city,lat_y,lon_y,id_cmonoc,lat_z,lon_z,distance
CHM00058665,1991.0,2020.0,58665.0,浙江,洪家,28.37,121.25,zjwz,27.9341,120.7629,0.6536
CHM00056571,1956.0,2020.0,56571.0,四川,西昌,27.54,102.16,scyy,27.4319,101.5126,0.6564
CHM00053513,1973.0,2020.0,53513.0,内蒙古,临河,40.44,107.22,nmwt,41.0787,107.0612,0.6582
CHM00054662,1944.0,2020.0,54662.0,辽宁,大连,38.54,121.38,lnjz,39.0918,121.7401,0.6589
CHM00056691,1960.0,2020.0,56691.0,贵州,威宁,26.52,104.17,gzsc,26.5859,104.8627,0.6958
CHM00056080,1960.0,2020.0,56080.0,甘肃,合作,35.0,102.54,qhtr,35.516,102.0099,0.7398
CHM00051839,1973.0,2020.0,51839.0,新疆,民丰,37.04,82.43,xjyt,36.4328,81.9691,0.7623
CHM00058847,1956.0,2020.0,58847.0,福建,福州,26.05,119.17,fjpt,25.5022,119.7687,0.8115
CHM00058725,1958.0,2020.0,58725.0,福建,邵武,27.2,117.28,fjwy,27.6169,117.9851,0.8191
CHM00056187,2004.0,2020.0,56187.0,四川,温江,30.45,103.52,sctq,30.0736,102.765,0.8436
CHM00057972,1956.0,2020.0,57972.0,湖南,郴州,25.48,113.02,gdsg,24.8461,113.5877,0.8509
CHM00058238,1930.0,2020.0,58238.0,江苏,南京,31.56,118.54,jsls,31.3489,119.4189,0.9039
CHM00057516,1957.0,2020.0,57516.0,重庆,沙坪坝,29.35,106.28,luzh,28.8724,105.4136,0.9893
CHM00051156,1973.0,2017.0,51156.0,新疆,和布克赛尔,46.47,85.43,xjkl,45.6103,84.9126,1.0034
CHM00058457,1960.0,2020.0,58457.0,浙江,杭州,30.14,120.1,zjjd,29.4747,119.2743,1.0603
CHM00050557,1956.0,2020.0,50557.0,黑龙江,嫩江,49.1,125.14,hlwd,48.6714,126.1362,1.0845
CHM00057178,1967.0,2020.0,57178.0,河南,南阳,33.06,112.29,hbxf,32.0027,112.0416,1.0861
CHM00052203,1957.0,2020.0,52203.0,新疆,哈密,42.49,93.31,xjjj,42.8489,94.3358,1.0868
CHM00059293,2015.0,2020.0,59293.0,广东,河源,23.48,114.44,guan,23.1848,113.3397,1.1392
CHM00053543,1963.0,2020.0,53543.0,内蒙古,东胜,39.5,109.59,nmbt,40.6037,110.0213,1.185
CHM00057993,1956.0,2020.0,57993.0,江西,赣县,25.52,115.0,jxja,26.748,115.058,1.2294
CHM00058027,1956.0,2020.0,58027.0,江苏,徐州,34.17,117.09,ahbb,32.9046,117.2963,1.2821
CHM00054218,1956.0,2020.0,54218.0,内蒙古,赤峰,42.18,118.5,hecd,41.0163,117.9179,1.3011
CHM00059663,1966.0,2020.0,59663.0,广东,阳江,21.5,111.58,gdzj,21.1549,110.304,1.3219
CHM00054102,1956.0,2020.0,54102.0,内蒙古,锡林浩特,43.57,116.07,nmzl,42.2333,115.9804,1.3397
CHM00058203,1957.0,2020.0,58203.0,安徽,阜阳,32.52,115.44,haqs,32.8451,114.0265,1.4504
CHM00058606,1957.0,2020.0,58606.0,江西,南昌,28.36,115.55,jxhk,29.7329,116.2391,1.5361
CHM00052323,1963.0,2020.0,52323.0,甘肃,马鬃山,41.48,97.02,gsax,40.5162,95.7612,1.5854
CHM00050774,1973.0,2020.0,50774.0,黑龙江,伊春,47.42,128.5,hlhg,47.3528,130.2356,1.7369
CHM00054374,1959.0,2020.0,54374.0,吉林,临江,41.48,126.53,jlcb,42.4106,128.1059,1.8302
