id_igra,wmo,lat,lon,alt,state,name,start,end,total
ZZV0000V2XO,,,,,  ,LAGARFOSS,2001,2002,192
ZZV0000VPHA,,,,,  ,OOCL CHALLENGE,1988,1992,1158
ZZV0000WAAH,,,,,  ,SEALAND MOTIVATOR,2004,2005,361
ZZV0000WPKD,,,,,  ,GALVESTON BAY,2001,2005,1233
ZZV0000WTEC,,,,,  ,RONALD H. BROWN (AWS),2000,2016,769
ZZV0000ZDLG,,,,,  ,BRANSFIELD,1986,1993,288
ZZV0000ZSAF,,,,,  ,S. A. AGULHAS,1989,2008,325
ZZV000ASDK3,,,,,  ,ASDK3,2009,2015,1929
ZZV000ASFR1,,,,,  ,ASFR1,2007,2016,2473
ZZV000ASFR2,,,,,  ,ASFR2,2007,2016,2316
ZZV000ASFR3,,,,,  ,ASFR3,2010,2016,1594
ZZV000ASFR4,,,,,  ,ASFR4,2010,2016,1559
ZZV000ELML7,,,,,  ,HORNBAY,2000,2005,2309
ZZV000LADB2,,,,,  ,SKAUGRAN,1992,1993,394
ZZV000LAJV4,,,,,  ,SKAUBRYN,1991,1992,163
ZZV000OVYA2,,,,,  ,ARINA ARCTICA,2000,2003,863
ZZV000OXTS2,,,,,  ,IRENA ARCTICA,2000,2007,616
ZZV000OXVH2,,,,,  ,NAJA ARCTICA,2003,2006,631
ZZV000OXYH2,,,,,  ,NUKA ARCTICA,2000,2005,1339
ZZV000P3OO4,,,,,  ,DRAGON BAY,1992,1993,148
ZZV000VSBV3,,,,,  ,CANMAR AMBASSADOR,1992,1992,250
ZZV000ZCBP6,,,,,  ,MISSISSAUGA EXPRESS,2000,2005,1069
ZZV00ASDE01,,,,,  ,ASDE01,2006,2014,2669
ZZV00ASDE02,,,,,  ,ASDE02,2006,2014,2066
ZZV00ASDE03,,,,,  ,ASDE03,2006,2014,2177
ZZV00ASDE04,,,,,  ,ASDE04,2006,2014,2646
ZZV00ASDE09,,,,,  ,ASDE09,2007,2013,258
ZZV00ASDK01,,,,,  ,ASDK01,2007,2016,2487
ZZV00ASDK02,,,,,  ,ASDK02,2007,2016,2547
ZZV00ASDK03,,,,,  ,ASDK03,2015,2016,251
ZZV00ASES01,,,,,  ,ASES01,2008,2014,1281
ZZV00ASEU01,,,,,  ,ASEU01,2006,2014,1669
ZZV00ASEU02,,,,,  ,ASEU02,2007,2014,1671
ZZV00ASEU03,,,,,  ,ASEU03,2007,2014,1369
ZZV00ASEU04,,,,,  ,ASEU04,2006,2014,1593
ZZV00ASEU05,,,,,  ,ASEU05,2006,2014,2042
ZZV00ASEU06,,,,,  ,ASEU06,2011,2014,659
ZZV00ASGB01,,,,,  ,ASGB01,2007,2011,956
ZZXUAE04977,04977,47.0,-15.0,5.0,  ,WEATHERSHIP K CIRRUS,1948,1948,477
ZZXUAICE002,,,,,  ,NP02,1950,1950,178
ZZXUAICE003,,,,,  ,NP03,1954,1955,354
ZZXUAICE004,,,,,  ,NP04,1954,1957,1089
ZZXUAICE005,,,,,  ,NP05,1955,1956,345
ZZXUAICE006,,,,,  ,NP06,1956,1959,853
ZZXUAICE007,,,,,  ,NP07,1957,1959,680
ZZXUAICE008,,,,,  ,NP08,1959,1961,890
ZZXUAICE009,,,,,  ,NP09,1960,1961,269
ZZXUAICE010,,,,,  ,NP10,1961,1964,873
ZZXUAICE011,,,,,  ,NP11,1962,1963,327
ZZXUAICE012,,,,,  ,NP12,1963,1965,674
ZZXUAICE013,,,,,  ,NP13,1964,1967,1006
ZZXUAICE014,,,,,  ,NP14,1965,1965,170
ZZXUAICE015,,,,,  ,NP15,1966,1968,676
ZZXUAICE016,,,,,  ,NP16,1968,1972,1356
