province,id_met,city,lat,lon,alt_sensor,alt_site
广东,59470,新兴,22.42,112.12,58.2,57.4
广东,59471,云浮,22.56,112.03,102.6,101.8
广东,59473,鹤山,22.46,112.58,20.6,19.8
广东,59475,开平,22.24,112.39,28.5,27.7
广东,59476,新会,22.32,113.02,37.1,36.3
广东,59477,恩平,22.16,112.14,68.5,68.0
广东,59478,台山,22.15,112.47,33.7,32.7
广东,59480,顺德,22.51,113.15,22.4,21.4
广东,59481,番禺,22.56,113.19,13.2,12.3
广东,59485,中山,22.30,113.24,34.5,33.7
广东,59487,斗门,22.14,113.18,24.3,23.4
广东,59488,珠海,22.17,113.34,52.3,51.5
广东,59492,惠东,22.58,114.44,48.2,47.4
广东,59493,深圳,22.32,114.00,63.9,63.0
广东,59500,海丰,22.58,115.19,7.3,6.5
广东,59501,汕尾,22.48,115.22,17.7,16.7
广东,59502,陆丰,22.57,115.39,6.4,5.6
广东,59650,遂溪,21.24,110.15,32.3,29.7
广东,59653,高州,21.56,110.51,32.0,31.3
广东,59654,廉江,21.38,110.18,30.0,29.3
广东,59655,化州,21.39,110.37,33.0,32.2
广东,59656,吴川,21.24,110.49,28.0,27.3
广东,59658,湛江,21.09,110.18,54.1,53.3
广东,59659,茂名,21.45,110.55,34.1,33.3
广东,59663,阳江,21.50,111.58,90.8,89.9
广东,59664,电白,21.32,110.59,32.4,31.6
广东,59673,上川岛,21.44,112.46,22.3,21.5
广东,59750,雷州,20.58,110.04,34.1,33.3
广东,59754,徐闻,20.20,110.11,56.7,55.9
广西,57859,资源,26.02,110.38,409.6,408.4
广西,57927,天峨,24.58,107.11,288.5,287.3
广西,57941,三江,25.47,109.36,198.4,197.3
广西,57942,龙胜,25.48,110.00,269.2,268.0
广西,57947,融安,25.13,109.24,122.5,121.3
广西,57948,融水,25.05,109.15,123.9,122.7
广西,57949,永福,24.59,110.00,158.0,156.8
广西,57954,临桂,25.14,110.11,158.8,157.6
广西,57955,兴安,25.37,110.40,225.2,224.0
广西,57956,灵川,25.25,110.19,169.1,167.9
广西,57957,桂林,25.19,110.18,165.6,164.4
广西,57960,全州,25.56,111.04,196.8,195.6
广西,57964,灌阳,25.30,111.09,264.3,263.1
广西,59001,隆林,24.47,105.20,673.4,672.2
广西,59004,西林,24.30,105.06,727.1,725.9
广西,59012,乐业,24.47,106.33,973.4,972.1
广西,59015,凌云,24.21,106.34,439.1,437.9
广西,59017,田林,24.16,106.16,279.4,278.2
广西,59021,凤山,24.33,107.02,510.6,509.4
广西,59023,河池,24.42,108.02,261.2,260.2
广西,59025,东兰,24.32,107.23,250.0,248.8
广西,59027,巴马,24.08,107.15,256.1,254.9
广西,59031,环江,24.49,108.16,343.5,342.3
广西,59034,宜州,24.29,108.40,151.9,150.7
广西,59037,都安,23.56,108.06,172.0,170.8
广西,59038,忻城,24.04,108.39,139.7,138.5
广西,59041,柳城,24.39,109.15,109.4,108.3
广西,59044,沙塘,24.28,109.23,98.7,97.5
广西,59045,鹿寨,24.29,109.45,95.9,94.7
广西,59046,柳州,24.21,109.24,97.8,96.8
广西,59047,柳江,24.15,109.20,102.1,100.9
广西,59052,恭城,24.50,110.49,170.8,169.6
广西,59053,平乐,24.37,110.40,107.0,105.8
广西,59055,荔浦,24.30,110.24,166.9,165.7
广西,59057,金秀,24.08,110.11,832.1,830.9
广西,59058,蒙山,24.12,110.31,183.1,181.9
广西,59059,昭平,24.11,110.48,107.0,105.8
广西,59065,贺州,24.25,111.30,149.9,148.7
广西,59209,那坡,23.25,105.50,795.1,794.1
广西,59211,百色,23.54,106.36,175.9,174.7
广西,59215,德保,23.20,106.38,681.2,680
广西,59218,靖西,23.08,106.25,741.1,739.9
广西,59224,田东,23.36,107.07,112.4,111.2
广西,59227,天等,23.07,107.08,455.4,454.2
广西,59228,平果,23.19,107.35,110.0,108.8
广西,59229,隆安,23.10,107.42,126.9,125.7
广西,59230,马山,23.43,108.10,169.2,168.0
广西,59235,上林,23.26,108.37,116.8,115.5
广西,59237,武鸣,23.10,108.17,112.8,111.7
广西,59238,宾阳,23.13,108.48,123.7,122.5
广西,59241,象州,23.58,109.41,91.7,90.5
广西,59242,来宾,23.45,109.14,86.1,84.9
广西,59246,武宣,23.36,109.40,71.2,70.0
广西,59255,平南,23.33,110.23,33.7,32.5
广西,59256,藤县,23.22,110.55,55.9,54.7
广西,59265,梧州,23.29,111.18,116.0,114.8
广西,59266,苍梧,23.25,111.14,43.7,42.5
广西,59419,凭祥,22.06,106.45,243.4,242.5
广西,59421,大新,22.50,107.12,256.3,255.1
广西,59429,上思,22.11,108.01,217.2,216.0
